"filename", "language", "JavaScript", "Markdown", "CSS", "ASP.NET Razor", "C#", "JSON", "XML", "Properties", "Docker", "HTML", "Vue", "comment", "blank", "total"
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\css\bootstrap.rtl.min.css", "CSS", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\js\bootstrap.bundle.js", "JavaScript", 5064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 655, 596, 6315
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\js\bootstrap.bundle.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\js\bootstrap.esm.js", "JavaScript", 3568, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 578, 302, 4448
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\js\bootstrap.esm.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\js\bootstrap.js", "JavaScript", 3604, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 584, 307, 4495
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\bootstrap\dist\js\bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\jquery-validation-unobtrusive\dist\jquery.validate.unobtrusive.js", "JavaScript", 306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 54, 436
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\jquery-validation-unobtrusive\dist\jquery.validate.unobtrusive.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\jquery-validation\LICENSE.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"d:\Project2\MyMvcBackend\Server\wwwroot\lib\jquery-validation\dist\additional-methods.js", "JavaScript", 860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 443, 202, 1505
